T_K,species,composition_ref,source,anchor_class,log10P_anchor,log10P_model,residual,status,model_side,note
1750.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-6.2952,-6.00691,0.288293,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1750.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-8.89756,-8.09028,0.807278,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1750.0,Fe,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.87821,-7.37065,0.507559,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1750.0,FeO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-8.09098,-7.71769,0.373291,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1750.0,Mg,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-9.80271,-9.33011,0.472596,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1750.0,O2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.65182,-5.65172,9.64811e-05,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1750.0,SiO2,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-9.27281,-9.08788,0.184934,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1875.0,Na,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-4.39296,-4.39645,-0.0034857,pass,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1875.0,K,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-5.61039,-5.30132,0.309071,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
1875.0,SiO,SF04-tho,Schaefer2004-MAGMA-valid.xlsx sheet=tho,model_model_MAGMA,-7.69039,-6.88287,0.807514,fail,live_VapoRock_JANAF_fO2=MAGMA_O2,MAGMA-native printed grid cell; k=5 model-model; fO2 pinned to MAGMA O2(g) polyfit (SF04 notebook protocol)
