sheet,T_K,species,class,log10P_workbook,log10P_shadow,envelope_status,gas_channel_in_domain,refusal_code
dun,1750,Na,K-NA-INFORMATIONAL,-4.5902798514672609,-5.6170995255063385,inside,True,
dun,1750,K,K-NA-INFORMATIONAL,-5.2626465549360582,-6.9441784970913094,inside,True,
dun,1875,O2,UNGATEABLE,-4.5082490166082927,-4.5082430303203722,inside,,
dun,1875,Mg,FAIL,-7.7696619656032819,-7.8433514408912455,inside,False,
dun,1875,SiO,FAIL,-8.7489855676338362,-8.1780310076014135,inside,False,
dun,1875,SiO2,PASS,-8.9976300189656069,-8.9982551488618068,inside,False,
dun,1875,Fe,FAIL,-7.1197426607339702,-6.9086169710258494,inside,False,
dun,1875,FeO,FAIL,-7.1322669489108392,-7.023652257043822,inside,False,
dun,1875,Na,K-NA-INFORMATIONAL,-3.9725933056229037,-4.9909501593677259,inside,True,
dun,1875,K,K-NA-INFORMATIONAL,-4.6960567780996731,-6.2668382603210375,inside,True,
dun,1900,O2,UNGATEABLE,-4.3968294188777168,-4.3968826619853374,inside,,
dun,1900,Mg,FAIL,-7.5699109091548236,-7.6227338137720864,inside,False,
dun,1900,SiO,FAIL,-8.51308080755995,-7.9455381654533168,inside,False,
dun,1900,SiO2,PASS,-8.7880216000669886,-8.7825648776405405,inside,False,
dun,1900,Fe,FAIL,-6.9515080884386284,-6.7322762282301509,inside,False,
dun,1900,FeO,FAIL,-6.9767648301590164,-6.8542930692329254,inside,False,
dun,1900,Na,K-NA-INFORMATIONAL,-3.8589608838517644,-4.8761299060857883,inside,True,
dun,1900,K,K-NA-INFORMATIONAL,-4.59169659161289,-6.140640664852933,inside,True,
dun,2000,O2,UNGATEABLE,-3.9800056190635056,-3.9801647299826115,inside,,
dun,2000,Mg,FAIL,-6.8226401394576737,-6.802181932727887,inside,False,
dun,2000,SiO,FAIL,-7.6237496164664931,-7.0737104035230214,inside,True,
dun,2000,SiO2,FAIL,-7.997802393620792,-7.9737516216300408,inside,False,
dun,2000,Fe,FAIL,-6.3206523371644137,-6.0744451146542255,inside,False,
dun,2000,FeO,FAIL,-6.3941550617302205,-6.2234095536111509,inside,False,
dun,2000,Na,K-NA-INFORMATIONAL,-3.4336618706628093,-4.4469022684862924,inside,True,
dun,2000,K,K-NA-INFORMATIONAL,-4.2001065941414018,-5.6650486850146748,inside,True,
dun,2125,O2,UNGATEABLE,-3.5168770543869021,-3.5168366184875879,inside,,
dun,2125,Mg,FAIL,-5.9905261577409599,-5.8986907878394046,inside,False,
dun,2125,SiO,FAIL,-6.6208510015312587,-6.0991426532911088,inside,True,
dun,2125,SiO2,FAIL,-7.1070422879172712,-7.0699522012285714,inside,False,
dun,2125,Fe,FAIL,-5.6151002527273493,-5.3455447186164449,inside,False,
dun,2125,FeO,FAIL,-5.7438915592212574,-5.5265337541597281,inside,False,
dun,2125,Na,K-NA-INFORMATIONAL,-2.9605581185936658,-3.9699311629983716,inside,True,
dun,2125,K,K-NA-INFORMATIONAL,-3.7619980816788021,-5.1301415042049001,inside,True,
dun,2250,O2,UNGATEABLE,-3.1084458733212625,-3.1082844025807432,inside,,
dun,2250,Mg,FAIL,-5.253341674261387,-5.1087226488082642,inside,False,
dun,2250,SiO,FAIL,-5.7214052884589393,-5.2324573028818389,inside,True,
dun,2250,SiO2,FAIL,-6.3088947152058408,-6.266971595615793,inside,False,
dun,2250,Fe,FAIL,-4.9869987863049161,-4.7029283394637256,inside,False,
dun,2250,FeO,FAIL,-5.1665549150879277,-4.9147640006894155,inside,False,
